frame,yaw,pitch,roll
0,-0.123943,-0.083956,0.0
1,-0.129544,-0.079982,0.0
2,-0.133261,-0.078707,0.0
3,-0.137589,-0.07799,0.0
4,-0.141207,-0.077531,0.0
5,-0.144851,-0.078856,0.0
6,-0.148525,-0.081163,0.0
7,-0.150783,-0.082866,0.0
8,-0.152585,-0.082419,0.0
9,-0.153429,-0.080046,0.0
10,-0.15486,-0.075258,0.0
11,-0.156671,-0.071293,0.0
12,-0.157964,-0.068215,0.0
13,-0.159323,-0.066812,0.0
14,-0.161156,-0.06525,0.0
15,-0.162973,-0.063071,0.0
16,-0.165419,-0.061539,0.0
17,-0.169587,-0.060342,0.0
18,-0.173094,-0.059529,0.0
19,-0.175999,-0.059437,0.0
20,-0.179347,-0.060227,0.0
21,-0.181438,-0.06043,0.0
22,-0.182938,-0.061309,0.0
23,-0.183404,-0.063283,0.0
24,-0.18298,-0.064977,0.0
25,-0.181411,-0.066782,0.0
26,-0.179269,-0.068599,0.0
27,-0.177375,-0.069917,0.0
28,-0.175435,-0.072809,0.0
29,-0.173794,-0.077273,0.0
30,-0.172319,-0.08174,0.0
31,-0.170685,-0.083188,0.0
32,-0.168014,-0.085319,0.0
33,-0.163925,-0.089355,0.0
34,-0.159922,-0.097827,0.0
35,-0.157689,-0.107354,0.0
36,-0.15576,-0.115272,0.0
37,-0.152888,-0.123971,0.0
38,-0.151009,-0.138205,0.0
39,-0.147509,-0.151168,0.0
40,-0.142515,-0.162318,0.0
41,-0.137052,-0.176791,0.0
42,-0.131689,-0.188778,0.0
43,-0.12633,-0.198623,0.0
44,-0.12179,-0.20952,0.0
45,-0.118548,-0.213709,0.0
46,-0.117519,-0.213191,0.0
47,-0.116241,-0.214776,0.0
48,-0.11587,-0.215995,0.0
49,-0.115903,-0.217479,0.0
50,-0.116485,-0.218965,0.0
51,-0.11686,-0.219845,0.0
52,-0.116953,-0.220284,0.0
53,-0.116975,-0.220517,0.0
54,-0.116903,-0.220503,0.0
55,-0.116992,-0.220304,0.0
56,-0.117435,-0.220226,0.0
57,-0.1182,-0.220311,0.0
58,-0.119213,-0.220263,0.0
59,-0.120136,-0.220326,0.0
60,-0.120797,-0.220568,0.0
61,-0.121042,-0.220948,0.0
62,-0.12081,-0.221437,0.0
63,-0.120501,-0.221858,0.0
64,-0.120248,-0.222307,0.0
65,-0.119794,-0.223082,0.0
66,-0.119222,-0.224002,0.0
67,-0.118599,-0.22459,0.0
68,-0.117901,-0.224866,0.0
69,-0.117557,-0.225318,0.0
70,-0.117222,-0.225992,0.0
71,-0.117112,-0.226701,0.0
72,-0.11704,-0.227342,0.0
73,-0.117209,-0.228188,0.0
74,-0.117947,-0.229626,0.0
75,-0.119196,-0.230667,0.0
76,-0.121306,-0.231381,0.0
77,-0.125192,-0.232104,0.0
78,-0.128591,-0.232411,0.0
79,-0.13158,-0.232984,0.0
80,-0.134613,-0.233758,0.0
81,-0.137425,-0.234752,0.0
82,-0.140127,-0.235988,0.0
83,-0.142889,-0.23733,0.0
84,-0.145744,-0.238391,0.0
85,-0.148778,-0.239815,0.0
86,-0.150967,-0.24105,0.0
87,-0.152559,-0.242418,0.0
88,-0.153529,-0.24369,0.0
89,-0.153989,-0.244903,0.0
90,-0.153558,-0.246312,0.0
91,-0.153022,-0.247152,0.0
92,-0.152258,-0.248208,0.0
93,-0.151748,-0.249557,0.0
94,-0.15158,-0.250702,0.0
95,-0.151485,-0.252032,0.0
96,-0.151587,-0.254017,0.0
97,-0.152278,-0.255612,0.0
98,-0.153026,-0.257227,0.0
99,-0.154198,-0.258684,0.0
100,-0.155868,-0.259483,0.0
101,-0.157994,-0.260675,0.0
102,-0.160179,-0.263261,0.0
103,-0.161343,-0.266185,0.0
104,-0.162116,-0.269126,0.0
105,-0.162303,-0.271867,0.0
106,-0.162085,-0.276146,0.0
107,-0.161682,-0.285979,0.0
108,-0.161588,-0.30283,0.0
109,-0.162329,-0.331733,0.0
110,-0.165151,-0.369639,0.0
111,-0.166314,-0.400782,0.0
112,-0.165111,-0.418625,0.0
113,-0.161621,-0.433227,0.0
114,-0.158774,-0.439451,0.0
115,-0.157263,-0.439779,0.0
116,-0.15755,-0.43869,0.0
117,-0.159578,-0.43723,0.0
118,-0.168918,-0.428326,0.0
119,-0.189281,-0.41246,0.0
120,-0.232642,-0.388743,0.0
121,-0.312359,-0.354768,0.0
122,-0.417675,-0.31603,0.0
123,-0.527569,-0.274971,0.0
124,-0.622173,-0.234311,0.0
125,-0.70347,-0.194296,0.0
126,-0.772253,-0.154029,0.0
127,-0.829592,-0.113753,0.0
128,-0.875603,-0.073507,0.0
129,-0.910129,-0.03104,0.0
130,-0.937984,0.000888,0.0
131,-0.960711,0.011115,0.0
132,-0.978112,0.011703,0.0
133,-0.988628,0.010486,0.0
134,-0.995786,0.010459,0.0
135,-1.002002,0.009025,0.0
136,-1.006965,0.009814,0.0
137,-1.012789,0.011984,0.0
138,-1.014276,0.011354,0.0
139,-1.014727,0.010754,0.0
140,-1.015486,0.009446,0.0
141,-1.016571,0.007475,0.0
142,-1.019402,0.007432,0.0
143,-1.024234,0.007872,0.0
144,-1.028303,0.0062,0.0
145,-1.031916,0.00379,0.0
146,-1.034914,0.001075,0.0
147,-1.036546,-0.000825,0.0
148,-1.039081,-0.001696,0.0
149,-1.04094,-0.003166,0.0
150,-1.041421,-0.004942,0.0
151,-1.040589,-0.007531,0.0
152,-1.04069,-0.010035,0.0
153,-1.041739,-0.013054,0.0
154,-1.044455,-0.016754,0.0
155,-1.046959,-0.019404,0.0
156,-1.049202,-0.022829,0.0
157,-1.051366,-0.025651,0.0
158,-1.05319,-0.027259,0.0
159,-1.055265,-0.028291,0.0
160,-1.056828,-0.029326,0.0
161,-1.057712,-0.029916,0.0
162,-1.058798,-0.030376,0.0
163,-1.059843,-0.03066,0.0
164,-1.061077,-0.031062,0.0
165,-1.061922,-0.031353,0.0
166,-1.062006,-0.031732,0.0
167,-1.06112,-0.032381,0.0
168,-1.060839,-0.032995,0.0
169,-1.061158,-0.033644,0.0
170,-1.062892,-0.033856,0.0
171,-1.065784,-0.034345,0.0
172,-1.068455,-0.035382,0.0
173,-1.070152,-0.036162,0.0
174,-1.071132,-0.036897,0.0
175,-1.071295,-0.037359,0.0
176,-1.070216,-0.037604,0.0
177,-1.065928,-0.037237,0.0
178,-1.053811,-0.03445,0.0
179,-1.039527,-0.027854,0.0
180,-1.024382,-0.020631,0.0
181,-1.007587,-0.013899,0.0
182,-0.987387,-0.009217,0.0
183,-0.961909,-0.005901,0.0
184,-0.933251,-0.001545,0.0
185,-0.902157,0.001218,0.0
186,-0.866238,0.004383,0.0
187,-0.825516,0.010632,0.0
188,-0.771924,0.016552,0.0
189,-0.708656,0.016668,0.0
190,-0.641007,0.015307,0.0
191,-0.581518,0.015694,0.0
192,-0.516847,0.01548,0.0
193,-0.450188,0.012332,0.0
194,-0.381544,0.007377,0.0
195,-0.301005,0.002435,0.0
196,-0.197007,-0.002448,0.0
197,-0.076734,-0.003704,0.0
198,0.059822,-0.004316,0.0
199,0.189149,0.000744,0.0
200,0.302326,0.005933,0.0
201,0.389067,0.004521,0.0
202,0.465485,-0.003578,0.0
203,0.528788,-0.008471,0.0
204,0.588188,-0.009298,0.0
205,0.634273,-0.011126,0.0
206,0.672612,-0.017132,0.0
207,0.709512,-0.022378,0.0
208,0.743467,-0.025732,0.0
209,0.778077,-0.026647,0.0
210,0.812554,-0.026114,0.0
211,0.845634,-0.025168,0.0
212,0.87601,-0.024208,0.0
213,0.906298,-0.022439,0.0
214,0.928161,-0.022943,0.0
215,0.948668,-0.025721,0.0
216,0.969425,-0.027125,0.0
217,0.992492,-0.030144,0.0
218,1.015955,-0.031988,0.0
219,1.040724,-0.031601,0.0
220,1.063194,-0.032911,0.0
221,1.084666,-0.035339,0.0
222,1.106053,-0.037488,0.0
223,1.128644,-0.039445,0.0
224,1.152939,-0.041574,0.0
225,1.176745,-0.042974,0.0
226,1.198582,-0.045525,0.0
227,1.219125,-0.050138,0.0
228,1.241007,-0.054806,0.0
229,1.269076,-0.057708,0.0
230,1.300402,-0.057261,0.0
231,1.332127,-0.054212,0.0
232,1.362502,-0.052147,0.0
233,1.387528,-0.050089,0.0
234,1.412732,-0.046463,0.0
235,1.432809,-0.04583,0.0
236,1.452754,-0.044122,0.0
237,1.473448,-0.039539,0.0
238,1.491783,-0.038286,0.0
239,1.507014,-0.037686,0.0
240,1.518182,-0.036945,0.0
241,1.524779,-0.032471,0.0
242,1.528961,-0.012484,0.0
243,1.531883,0.049538,0.0
244,1.529666,0.134544,0.0
245,1.523892,0.188459,0.0
246,1.511543,0.243406,0.0
247,1.492861,0.292333,0.0
248,1.479097,0.324179,0.0
249,1.469748,0.347643,0.0
250,1.457757,0.376285,0.0
251,1.446761,0.3965,0.0
252,1.433207,0.416187,0.0
253,1.416242,0.434753,0.0
254,1.397484,0.452578,0.0
255,1.379788,0.466377,0.0
256,1.366834,0.478131,0.0
257,1.35792,0.490641,0.0
258,1.350365,0.503499,0.0
259,1.338891,0.515801,0.0
260,1.326449,0.529474,0.0
261,1.311949,0.543025,0.0
262,1.294853,0.553704,0.0
263,1.275289,0.56541,0.0
264,1.253624,0.576139,0.0
265,1.232949,0.583978,0.0
266,1.213871,0.590911,0.0
267,1.195395,0.597818,0.0
268,1.175771,0.602697,0.0
269,1.153379,0.604937,0.0
270,1.125926,0.605173,0.0
271,1.097734,0.603607,0.0
272,1.073511,0.601057,0.0
273,1.053468,0.599481,0.0
274,1.036494,0.598478,0.0
275,1.02133,0.598439,0.0
276,1.005163,0.59845,0.0
277,0.984662,0.59939,0.0
278,0.958331,0.599708,0.0
279,0.928339,0.596561,0.0
280,0.899759,0.592205,0.0
281,0.866593,0.587522,0.0
282,0.82593,0.579607,0.0
283,0.78173,0.569497,0.0
284,0.737041,0.558475,0.0
285,0.68775,0.544395,0.0
286,0.641446,0.532013,0.0
287,0.596762,0.522985,0.0
288,0.552994,0.514364,0.0
289,0.511961,0.505863,0.0
290,0.472233,0.499415,0.0
291,0.429368,0.492779,0.0
292,0.392808,0.486242,0.0
293,0.365274,0.484075,0.0
294,0.342504,0.486843,0.0
295,0.32786,0.494523,0.0
296,0.316889,0.503385,0.0
297,0.306689,0.513333,0.0
298,0.298836,0.517197,0.0
299,0.288562,0.513183,0.0
300,0.275847,0.505974,0.0
301,0.263425,0.498837,0.0
302,0.256302,0.488759,0.0
303,0.256825,0.4728,0.0
304,0.264702,0.45431,0.0
305,0.275778,0.436916,0.0
306,0.288551,0.416194,0.0
307,0.300882,0.398177,0.0
308,0.313991,0.385311,0.0
309,0.326921,0.375953,0.0
310,0.340574,0.366336,0.0
311,0.353829,0.355521,0.0
312,0.366735,0.345244,0.0
313,0.377439,0.335155,0.0
314,0.38649,0.324054,0.0
315,0.393934,0.3147,0.0
316,0.39947,0.306604,0.0
317,0.404207,0.297436,0.0
318,0.407228,0.287341,0.0
319,0.409156,0.278437,0.0
320,0.410573,0.270173,0.0
321,0.408742,0.261398,0.0
322,0.401358,0.252012,0.0
323,0.386755,0.242104,0.0
324,0.365269,0.232877,0.0
325,0.338231,0.22623,0.0
326,0.302223,0.220371,0.0
327,0.266048,0.215411,0.0
328,0.230388,0.211176,0.0
329,0.198561,0.208494,0.0
330,0.168767,0.207376,0.0
331,0.139727,0.20505,0.0
332,0.112345,0.194402,0.0
333,0.085816,0.178678,0.0
334,0.058792,0.166551,0.0
335,0.032375,0.162538,0.0
336,0.009766,0.161124,0.0
337,-0.010816,0.155933,0.0
338,-0.029441,0.149939,0.0
339,-0.044469,0.144742,0.0
340,-0.061321,0.13806,0.0
341,-0.082382,0.130261,0.0
342,-0.1099,0.123944,0.0
343,-0.140363,0.120198,0.0
344,-0.168527,0.117787,0.0
345,-0.197291,0.116096,0.0
