frame,yaw,pitch,roll
0,3.053842,0.063588,0.0
1,3.048608,0.064017,0.0
2,3.049124,0.063383,0.0
3,3.048887,0.062653,0.0
4,3.049288,0.06372,0.0
5,3.051559,0.069748,0.0
6,3.053572,0.077668,0.0
7,3.055135,0.087773,0.0
8,3.05802,0.100407,0.0
9,3.061613,0.116969,0.0
10,3.064399,0.134646,0.0
11,3.067808,0.150978,0.0
12,3.072159,0.164727,0.0
13,3.076421,0.177196,0.0
14,3.077963,0.194569,0.0
15,3.080929,0.20776,0.0
16,3.088412,0.217044,0.0
17,3.100244,0.227736,0.0
18,3.111838,0.243604,0.0
19,3.127619,0.257181,0.0
20,-3.135089,0.264675,0.0
21,-3.112274,0.274482,0.0
22,-3.087259,0.286448,0.0
23,-3.061092,0.297605,0.0
24,-3.033941,0.305272,0.0
25,-3.011626,0.311174,0.0
26,-2.989321,0.31821,0.0
27,-2.966393,0.328247,0.0
28,-2.940356,0.337386,0.0
29,-2.908315,0.346313,0.0
30,-2.878886,0.354314,0.0
31,-2.85783,0.358611,0.0
32,-2.845492,0.358212,0.0
33,-2.84105,0.355425,0.0
34,-2.839184,0.349969,0.0
35,-2.832301,0.347236,0.0
36,-2.816897,0.350135,0.0
37,-2.793389,0.355653,0.0
38,-2.761675,0.359454,0.0
39,-2.727318,0.364148,0.0
40,-2.694588,0.370244,0.0
41,-2.666959,0.3749,0.0
42,-2.64439,0.374862,0.0
43,-2.624454,0.374197,0.0
44,-2.603898,0.375527,0.0
45,-2.572074,0.377218,0.0
46,-2.530439,0.38383,0.0
47,-2.480551,0.39231,0.0
48,-2.425642,0.400624,0.0
49,-2.364197,0.409414,0.0
50,-2.294843,0.421707,0.0
51,-2.221527,0.435602,0.0
52,-2.143759,0.450612,0.0
53,-2.066395,0.466672,0.0
54,-1.988519,0.483023,0.0
55,-1.909928,0.498049,0.0
56,-1.838819,0.51336,0.0
57,-1.769487,0.525202,0.0
58,-1.702808,0.535024,0.0
59,-1.637977,0.54275,0.0
60,-1.571401,0.548258,0.0
61,-1.497325,0.550819,0.0
62,-1.428194,0.555818,0.0
63,-1.361909,0.557425,0.0
64,-1.29821,0.555521,0.0
65,-1.238077,0.551095,0.0
66,-1.17866,0.541951,0.0
67,-1.11885,0.53074,0.0
68,-1.06001,0.521454,0.0
69,-0.989282,0.508463,0.0
70,-0.922212,0.495722,0.0
71,-0.869484,0.483598,0.0
72,-0.821544,0.469087,0.0
73,-0.781026,0.455181,0.0
74,-0.75344,0.439657,0.0
75,-0.725528,0.414205,0.0
76,-0.687982,0.381169,0.0
77,-0.657708,0.354669,0.0
78,-0.628654,0.332103,0.0
79,-0.602021,0.31999,0.0
80,-0.577113,0.31255,0.0
81,-0.552038,0.300696,0.0
82,-0.528924,0.289844,0.0
83,-0.508443,0.277857,0.0
84,-0.487729,0.262292,0.0
85,-0.464783,0.248646,0.0
86,-0.438942,0.236696,0.0
87,-0.412531,0.222245,0.0
88,-0.386742,0.208113,0.0
89,-0.36179,0.190894,0.0
90,-0.333867,0.169285,0.0
91,-0.306831,0.150549,0.0
92,-0.287443,0.132059,0.0
93,-0.273318,0.1129,0.0
94,-0.266399,0.101827,0.0
95,-0.263423,0.091231,0.0
96,-0.260158,0.08197,0.0
97,-0.253247,0.072952,0.0
98,-0.249668,0.06877,0.0
99,-0.248992,0.063457,0.0
100,-0.245835,0.059728,0.0
101,-0.244451,0.058767,0.0
102,-0.24241,0.053697,0.0
103,-0.241562,0.051707,0.0
104,-0.24119,0.04929,0.0
105,-0.240266,0.045647,0.0
106,-0.239978,0.043243,0.0
107,-0.240234,0.04101,0.0
108,-0.242038,0.038965,0.0
109,-0.243876,0.037735,0.0
110,-0.246766,0.037057,0.0
111,-0.249065,0.034972,0.0
112,-0.253661,0.033469,0.0
113,-0.262196,0.032643,0.0
114,-0.274653,0.031948,0.0
115,-0.294493,0.033599,0.0
116,-0.32835,0.037346,0.0
117,-0.376434,0.034482,0.0
118,-0.437651,0.033567,0.0
119,-0.505462,0.0441,0.0
120,-0.572286,0.055395,0.0
121,-0.6281,0.058997,0.0
122,-0.674362,0.06391,0.0
123,-0.708837,0.071009,0.0
124,-0.737547,0.07695,0.0
125,-0.761473,0.075421,0.0
126,-0.786032,0.075437,0.0
127,-0.807268,0.076727,0.0
128,-0.819087,0.079506,0.0
129,-0.832027,0.085972,0.0
130,-0.846673,0.095465,0.0
131,-0.864492,0.106788,0.0
