frame,yaw,pitch,roll
0,-0.032007,0.056215,0.0
1,-0.060551,0.037051,0.0
2,-0.071069,0.024568,0.0
3,-0.07531,0.005425,0.0
4,-0.080395,-0.009689,0.0
5,-0.091142,-0.017855,0.0
6,-0.112146,-0.028155,0.0
7,-0.132885,-0.036462,0.0
8,-0.143163,-0.048317,0.0
9,-0.150141,-0.05663,0.0
10,-0.157074,-0.059094,0.0
11,-0.162122,-0.058158,0.0
12,-0.16236,-0.059126,0.0
13,-0.15643,-0.05895,0.0
14,-0.14367,-0.060488,0.0
15,-0.136739,-0.057682,0.0
16,-0.142493,-0.048928,0.0
17,-0.148633,-0.044865,0.0
18,-0.145539,-0.054354,0.0
19,-0.140709,-0.067767,0.0
20,-0.139355,-0.077804,0.0
21,-0.134888,-0.089097,0.0
22,-0.131405,-0.098348,0.0
23,-0.129924,-0.107455,0.0
24,-0.129994,-0.106397,0.0
25,-0.132797,-0.097772,0.0
26,-0.144775,-0.114253,0.0
27,-0.139826,-0.118487,0.0
28,-0.143279,-0.129344,0.0
29,-0.141474,-0.128257,0.0
30,-0.143612,-0.129289,0.0
31,-0.141345,-0.129088,0.0
32,-0.136517,-0.134354,0.0
33,-0.131636,-0.141512,0.0
34,-0.138342,-0.142711,0.0
35,-0.138051,-0.142452,0.0
36,-0.13936,-0.140408,0.0
37,-0.136061,-0.136789,0.0
38,-0.12939,-0.129451,0.0
39,-0.129807,-0.121094,0.0
40,-0.131122,-0.117796,0.0
41,-0.132366,-0.114307,0.0
42,-0.134868,-0.113147,0.0
43,-0.138712,-0.108266,0.0
44,-0.135062,-0.103862,0.0
45,-0.12692,-0.103816,0.0
46,-0.117299,-0.10118,0.0
47,-0.102491,-0.103787,0.0
48,-0.077816,-0.114151,0.0
49,-0.060853,-0.118998,0.0
50,-0.050655,-0.116472,0.0
51,-0.035382,-0.119284,0.0
52,-0.01891,-0.118733,0.0
53,-0.005113,-0.113484,0.0
54,0.017684,-0.10841,0.0
55,0.046237,-0.101549,0.0
56,0.073772,-0.09725,0.0
57,0.100635,-0.094842,0.0
58,0.124142,-0.093805,0.0
59,0.148837,-0.096229,0.0
60,0.172762,-0.092966,0.0
61,0.202832,-0.08433,0.0
62,0.237282,-0.070789,0.0
63,0.279237,-0.055433,0.0
64,0.327987,-0.037435,0.0
65,0.379158,-0.016854,0.0
66,0.436174,0.002987,0.0
67,0.494609,0.020504,0.0
68,0.54891,0.035478,0.0
69,0.600256,0.046533,0.0
70,0.643799,0.052414,0.0
71,0.688926,0.056278,0.0
