frame,yaw,pitch,roll
0,-0.029911,0.0053,0.0
1,-0.041822,0.007562,0.0
2,-0.049296,0.008175,0.0
3,-0.051833,0.008057,0.0
4,-0.053543,0.00816,0.0
5,-0.054485,0.00761,0.0
6,-0.054735,0.006596,0.0
7,-0.053631,0.004331,0.0
8,-0.05124,0.001782,0.0
9,-0.04881,-0.000616,0.0
10,-0.046258,-0.003088,0.0
11,-0.043079,-0.0063,0.0
12,-0.04114,-0.008726,0.0
13,-0.040523,-0.010463,0.0
14,-0.040616,-0.012926,0.0
15,-0.041162,-0.015809,0.0
16,-0.04334,-0.018176,0.0
17,-0.045372,-0.019296,0.0
18,-0.049234,-0.021468,0.0
19,-0.054041,-0.022946,0.0
20,-0.059252,-0.024719,0.0
21,-0.063254,-0.025152,0.0
22,-0.065172,-0.025559,0.0
23,-0.066629,-0.024097,0.0
24,-0.066113,-0.022471,0.0
25,-0.064427,-0.02378,0.0
26,-0.06409,-0.025071,0.0
27,-0.065462,-0.025133,0.0
28,-0.067607,-0.025008,0.0
29,-0.070998,-0.023946,0.0
30,-0.073681,-0.025801,0.0
31,-0.078689,-0.026499,0.0
32,-0.08553,-0.024368,0.0
33,-0.085837,-0.021786,0.0
34,-0.083946,-0.021829,0.0
35,-0.083451,-0.022004,0.0
36,-0.083167,-0.023615,0.0
37,-0.083062,-0.025397,0.0
38,-0.082148,-0.026972,0.0
39,-0.078598,-0.028873,0.0
40,-0.069172,-0.03012,0.0
41,-0.05794,-0.029423,0.0
42,-0.045912,-0.025417,0.0
43,-0.034245,-0.024248,0.0
44,-0.024828,-0.024383,0.0
45,-0.020253,-0.022934,0.0
46,-0.021767,-0.021723,0.0
47,-0.023273,-0.020253,0.0
48,-0.031287,-0.016176,0.0
49,-0.038311,-0.013793,0.0
50,-0.045209,-0.012586,0.0
51,-0.048449,-0.011098,0.0
52,-0.05163,-0.007897,0.0
53,-0.053377,-0.005513,0.0
54,-0.056018,-0.004148,0.0
55,-0.059784,-0.004972,0.0
56,-0.064079,-0.007826,0.0
57,-0.062085,-0.01119,0.0
58,-0.05881,-0.013084,0.0
59,-0.053935,-0.016228,0.0
60,-0.054026,-0.023624,0.0
61,-0.052605,-0.038812,0.0
62,-0.053944,-0.043224,0.0
63,-0.053141,-0.043557,0.0
64,-0.045405,-0.043669,0.0
65,-0.038533,-0.044638,0.0
