frame,yaw,pitch,roll
0,0.270974,0.154049,0.0
1,0.298155,0.154027,0.0
2,0.315081,0.158237,0.0
3,0.324826,0.161156,0.0
4,0.334839,0.162134,0.0
5,0.346117,0.160017,0.0
6,0.357611,0.157514,0.0
7,0.365896,0.15964,0.0
8,0.368975,0.164837,0.0
9,0.366908,0.170505,0.0
10,0.361272,0.173999,0.0
11,0.351433,0.168479,0.0
12,0.340033,0.155232,0.0
13,0.329134,0.134577,0.0
14,0.319852,0.112444,0.0
15,0.311135,0.090387,0.0
16,0.300728,0.065468,0.0
17,0.288293,0.047669,0.0
18,0.272471,0.027069,0.0
19,0.255853,0.00874,0.0
20,0.239215,-0.002221,0.0
21,0.223871,-0.012774,0.0
22,0.210787,-0.017646,0.0
23,0.199049,-0.015414,0.0
24,0.189414,-0.006699,0.0
25,0.181445,0.003696,0.0
26,0.173935,0.010932,0.0
27,0.166973,0.020503,0.0
28,0.158361,0.03107,0.0
29,0.147905,0.039824,0.0
30,0.134817,0.046739,0.0
31,0.118899,0.051644,0.0
32,0.101606,0.05315,0.0
33,0.085292,0.050077,0.0
34,0.069182,0.046209,0.0
35,0.054214,0.044525,0.0
36,0.040284,0.04156,0.0
37,0.030052,0.040242,0.0
38,0.023879,0.041727,0.0
39,0.020768,0.045033,0.0
40,0.022424,0.047432,0.0
41,0.025063,0.050253,0.0
42,0.029277,0.054348,0.0
43,0.032676,0.055678,0.0
44,0.035179,0.055718,0.0
45,0.036477,0.054244,0.0
46,0.03627,0.052744,0.0
47,0.035312,0.051297,0.0
48,0.034341,0.050198,0.0
49,0.032927,0.049867,0.0
50,0.031003,0.050018,0.0
51,0.029111,0.050266,0.0
52,0.027841,0.05052,0.0
53,0.027304,0.050531,0.0
54,0.028007,0.050201,0.0
55,0.031313,0.050079,0.0
56,0.037014,0.050781,0.0
57,0.043605,0.051871,0.0
58,0.049941,0.052327,0.0
59,0.055898,0.050336,0.0
60,0.061444,0.048052,0.0
61,0.065072,0.047483,0.0
62,0.06748,0.047309,0.0
63,0.068846,0.047019,0.0
64,0.069707,0.047221,0.0
65,0.069552,0.047611,0.0
66,0.068553,0.047674,0.0
67,0.06736,0.047844,0.0
68,0.066208,0.048375,0.0
69,0.065142,0.048781,0.0
70,0.063901,0.049427,0.0
71,0.062604,0.050095,0.0
72,0.061781,0.050381,0.0
73,0.060736,0.050292,0.0
74,0.059794,0.049657,0.0
75,0.059057,0.048753,0.0
76,0.05856,0.047027,0.0
77,0.058432,0.044928,0.0
78,0.058941,0.041725,0.0
79,0.059337,0.03951,0.0
80,0.059603,0.03786,0.0
81,0.059784,0.035625,0.0
82,0.059552,0.033197,0.0
83,0.057728,0.02777,0.0
84,0.056064,0.018854,0.0
85,0.054829,0.008067,0.0
86,0.052293,-0.003998,0.0
87,0.048687,-0.018425,0.0
88,0.043821,-0.0343,0.0
89,0.038311,-0.052772,0.0
90,0.032957,-0.071584,0.0
91,0.02776,-0.087836,0.0
92,0.024558,-0.10294,0.0
93,0.022501,-0.11731,0.0
94,0.022613,-0.128319,0.0
95,0.024835,-0.137019,0.0
96,0.029317,-0.141581,0.0
97,0.034299,-0.143732,0.0
98,0.038915,-0.143584,0.0
99,0.043268,-0.143417,0.0
100,0.046352,-0.143791,0.0
101,0.048107,-0.145064,0.0
102,0.049648,-0.146088,0.0
103,0.049711,-0.147203,0.0
104,0.048828,-0.149302,0.0
105,0.047298,-0.151094,0.0
106,0.045855,-0.152302,0.0
107,0.044233,-0.153749,0.0
108,0.043329,-0.155431,0.0
109,0.04266,-0.15676,0.0
110,0.042708,-0.158144,0.0
111,0.042886,-0.159055,0.0
112,0.043405,-0.159983,0.0
113,0.044297,-0.160397,0.0
114,0.045275,-0.160298,0.0
115,0.046325,-0.160087,0.0
116,0.047556,-0.160306,0.0
117,0.04863,-0.160229,0.0
118,0.049956,-0.159559,0.0
119,0.050707,-0.158939,0.0
120,0.050921,-0.158354,0.0
121,0.050729,-0.157841,0.0
122,0.050096,-0.157089,0.0
123,0.04943,-0.155958,0.0
124,0.049096,-0.154694,0.0
125,0.049039,-0.153514,0.0
126,0.049657,-0.151743,0.0
127,0.050766,-0.149583,0.0
128,0.052268,-0.146445,0.0
129,0.054002,-0.142669,0.0
130,0.05599,-0.139282,0.0
131,0.058817,-0.135403,0.0
132,0.06293,-0.131644,0.0
133,0.06942,-0.127711,0.0
134,0.076738,-0.123777,0.0
135,0.084624,-0.121358,0.0
136,0.093671,-0.120314,0.0
137,0.107875,-0.118482,0.0
138,0.125749,-0.117856,0.0
139,0.145718,-0.115129,0.0
140,0.164764,-0.115432,0.0
141,0.183593,-0.11671,0.0
142,0.199928,-0.119987,0.0
143,0.212326,-0.122605,0.0
144,0.230923,-0.126242,0.0
145,0.241123,-0.129048,0.0
146,0.251694,-0.133039,0.0
147,0.262368,-0.137933,0.0
148,0.273679,-0.143032,0.0
149,0.285922,-0.148722,0.0
150,0.298638,-0.154897,0.0
151,0.311627,-0.160966,0.0
152,0.324513,-0.166114,0.0
153,0.33834,-0.171381,0.0
154,0.353582,-0.176898,0.0
155,0.36902,-0.181659,0.0
156,0.387073,-0.185206,0.0
157,0.406766,-0.187102,0.0
158,0.428034,-0.187869,0.0
159,0.449824,-0.186723,0.0
160,0.470967,-0.183852,0.0
161,0.495942,-0.178909,0.0
162,0.520998,-0.172409,0.0
163,0.546468,-0.165669,0.0
164,0.571165,-0.158099,0.0
165,0.594805,-0.151059,0.0
166,0.615479,-0.143672,0.0
167,0.634457,-0.13716,0.0
168,0.651301,-0.131168,0.0
169,0.66644,-0.124507,0.0
170,0.68219,-0.11774,0.0
171,0.699888,-0.111834,0.0
172,0.717157,-0.104406,0.0
173,0.732886,-0.096522,0.0
174,0.747791,-0.088526,0.0
175,0.760499,-0.081517,0.0
176,0.770335,-0.075345,0.0
177,0.778369,-0.070353,0.0
178,0.783834,-0.06681,0.0
179,0.788373,-0.062288,0.0
180,0.793671,-0.056511,0.0
181,0.799647,-0.050458,0.0
182,0.80704,-0.044517,0.0
183,0.815149,-0.041509,0.0
184,0.823085,-0.040378,0.0
185,0.830032,-0.041367,0.0
186,0.838021,-0.04208,0.0
187,0.846355,-0.042183,0.0
188,0.856706,-0.041377,0.0
189,0.870015,-0.040572,0.0
190,0.884165,-0.040937,0.0
191,0.900828,-0.042249,0.0
192,0.916424,-0.042709,0.0
193,0.932105,-0.040782,0.0
194,0.946266,-0.03704,0.0
195,0.959168,-0.032809,0.0
196,0.972601,-0.028407,0.0
197,0.985439,-0.023873,0.0
198,0.998335,-0.020218,0.0
199,1.010326,-0.017232,0.0
200,1.021135,-0.014894,0.0
201,1.029921,-0.013379,0.0
202,1.03673,-0.012218,0.0
203,1.041372,-0.012318,0.0
204,1.044826,-0.013033,0.0
205,1.04733,-0.015448,0.0
206,1.050932,-0.018541,0.0
207,1.054166,-0.021226,0.0
208,1.058264,-0.02325,0.0
209,1.064896,-0.024396,0.0
210,1.07143,-0.023065,0.0
211,1.078665,-0.020968,0.0
212,1.086424,-0.020224,0.0
213,1.093273,-0.019714,0.0
214,1.100922,-0.020005,0.0
215,1.108785,-0.019757,0.0
216,1.116591,-0.018761,0.0
217,1.125207,-0.017831,0.0
218,1.132733,-0.016957,0.0
219,1.139649,-0.017271,0.0
