frame,yaw,pitch,roll
0,0.10965,-0.150063,0.0
1,0.121172,-0.151413,0.0
2,0.121939,-0.150001,0.0
3,0.122981,-0.148358,0.0
4,0.123666,-0.146079,0.0
5,0.124683,-0.145592,0.0
6,0.127419,-0.14611,0.0
7,0.132299,-0.14683,0.0
8,0.138486,-0.146731,0.0
9,0.143712,-0.144755,0.0
10,0.146483,-0.143397,0.0
11,0.149033,-0.142298,0.0
12,0.151767,-0.143532,0.0
13,0.155886,-0.147201,0.0
14,0.15985,-0.152565,0.0
15,0.164181,-0.157946,0.0
16,0.168192,-0.161744,0.0
17,0.172109,-0.166534,0.0
18,0.175954,-0.169126,0.0
19,0.1788,-0.170114,0.0
20,0.183495,-0.171876,0.0
21,0.188403,-0.173754,0.0
22,0.19497,-0.177917,0.0
23,0.203304,-0.182383,0.0
24,0.211776,-0.185834,0.0
25,0.220961,-0.190269,0.0
26,0.230218,-0.194318,0.0
27,0.240469,-0.195924,0.0
28,0.251612,-0.197498,0.0
29,0.264319,-0.19986,0.0
30,0.278463,-0.203435,0.0
31,0.293781,-0.209909,0.0
32,0.311848,-0.216954,0.0
33,0.334164,-0.227262,0.0
34,0.354534,-0.238251,0.0
35,0.375283,-0.249075,0.0
36,0.393278,-0.257569,0.0
37,0.410101,-0.266283,0.0
38,0.420915,-0.271194,0.0
39,0.430765,-0.27596,0.0
40,0.439187,-0.279319,0.0
41,0.447112,-0.280832,0.0
42,0.455211,-0.282241,0.0
43,0.465472,-0.284572,0.0
44,0.479874,-0.286901,0.0
45,0.503621,-0.288764,0.0
46,0.534761,-0.291782,0.0
47,0.573255,-0.291845,0.0
48,0.614247,-0.288231,0.0
49,0.658936,-0.288543,0.0
50,0.704439,-0.284068,0.0
51,0.747514,-0.278076,0.0
52,0.789862,-0.269066,0.0
53,0.826295,-0.251279,0.0
54,0.857425,-0.228673,0.0
55,0.88039,-0.210662,0.0
56,0.895074,-0.200699,0.0
57,0.90639,-0.194304,0.0
58,0.917363,-0.18915,0.0
59,0.929144,-0.186724,0.0
60,0.943176,-0.184711,0.0
61,0.95676,-0.183461,0.0
62,0.970602,-0.180749,0.0
63,0.98481,-0.175986,0.0
