frame,yaw,pitch,roll
0,-1.436027,0.013039,0.0
1,-1.456203,0.023662,0.0
2,-1.460887,0.024174,0.0
3,-1.459562,0.019876,0.0
4,-1.454941,0.014157,0.0
5,-1.445016,0.009185,0.0
6,-1.431696,0.00658,0.0
7,-1.417923,0.005542,0.0
8,-1.406468,0.00501,0.0
9,-1.400436,0.001505,0.0
10,-1.399449,-0.001407,0.0
11,-1.400742,-0.003729,0.0
12,-1.402487,-0.005653,0.0
13,-1.404923,-0.010138,0.0
14,-1.40682,-0.013022,0.0
15,-1.407237,-0.013525,0.0
16,-1.407228,-0.013965,0.0
17,-1.407377,-0.011834,0.0
18,-1.407671,-0.010266,0.0
19,-1.409606,-0.005665,0.0
20,-1.413265,-0.001116,0.0
21,-1.418823,0.000729,0.0
22,-1.425483,0.002225,0.0
23,-1.430941,0.004123,0.0
24,-1.43238,0.004783,0.0
25,-1.429279,0.006607,0.0
26,-1.42588,0.009884,0.0
27,-1.420801,0.01281,0.0
28,-1.409421,0.014487,0.0
29,-1.394761,0.018494,0.0
30,-1.376367,0.026905,0.0
31,-1.35852,0.036768,0.0
32,-1.342016,0.041672,0.0
33,-1.327394,0.044324,0.0
34,-1.314813,0.043155,0.0
35,-1.300516,0.040076,0.0
36,-1.286075,0.038368,0.0
37,-1.271142,0.037664,0.0
38,-1.254722,0.036901,0.0
39,-1.235855,0.03461,0.0
40,-1.213778,0.032317,0.0
41,-1.188698,0.028912,0.0
42,-1.160208,0.025546,0.0
43,-1.129266,0.022322,0.0
44,-1.095827,0.019612,0.0
45,-1.061407,0.018757,0.0
46,-1.027167,0.020955,0.0
47,-0.992309,0.022782,0.0
48,-0.957982,0.024164,0.0
49,-0.92508,0.024863,0.0
50,-0.894856,0.024605,0.0
51,-0.864668,0.022708,0.0
52,-0.836617,0.020999,0.0
53,-0.810616,0.019021,0.0
54,-0.786178,0.017765,0.0
55,-0.763671,0.018299,0.0
56,-0.744506,0.020777,0.0
57,-0.726658,0.023107,0.0
58,-0.711635,0.025453,0.0
59,-0.698645,0.0306,0.0
60,-0.686794,0.035477,0.0
61,-0.676026,0.038865,0.0
62,-0.665643,0.042737,0.0
63,-0.654701,0.044772,0.0
64,-0.644481,0.046077,0.0
65,-0.635287,0.046566,0.0
66,-0.626611,0.045636,0.0
67,-0.618325,0.046387,0.0
68,-0.609738,0.04769,0.0
69,-0.601601,0.048994,0.0
70,-0.594196,0.049931,0.0
71,-0.588239,0.050643,0.0
72,-0.584304,0.051396,0.0
73,-0.580695,0.052457,0.0
74,-0.576518,0.053331,0.0
75,-0.57224,0.05346,0.0
76,-0.568005,0.053219,0.0
77,-0.562644,0.052234,0.0
78,-0.558023,0.05125,0.0
79,-0.553778,0.050359,0.0
80,-0.548027,0.047754,0.0
81,-0.542835,0.046287,0.0
82,-0.53784,0.045726,0.0
83,-0.534548,0.044325,0.0
84,-0.529921,0.042002,0.0
85,-0.524625,0.039645,0.0
86,-0.517926,0.038506,0.0
